dimension,value,count
overall,inconclusive,10
overall,needs-review,5
overall,no-finding-observed,4
overall,risk-detected,6
correctness,not-run,4
correctness,pass,21
review,expired,4
review,not-needed,3
review,pending,6
review,reviewed,12
family,Falcon,6
family,Kyber,1
family,ML-DSA,3
family,ML-KEM,10
family,SPHINCS+,1
family,synthetic,4
timing_validity,confounded,1
timing_validity,insufficient-power,7
timing_validity,not-run,17
