family,target,harness,ct_flips,ct_status_set,ct_finding_funcs,varlat_candidates,varlat_triage,dudect_status,dudect_abs_t,dudect_measurements,dudect_leak_target,dudect_seed,dudect_threshold,verdict_class,notes
ML-KEM,pqclean_mlkem768,kem_dec,no,{PASS},,clang:-O0;gcc:-Os,public,WARNING,5.470,10000,sk,12648430,4.5/10.0,robust,dudect WARNING — likely QEMU env-noise; confirm natively
ML-KEM,pqclean_mlkem768,kem_dec_fo,no,{PASS},,clang:-O0;gcc:-Os,public,,,10000,fo,12648430,4.5/10.0,robust,
ML-KEM,pqclean_mlkem768_kyberslash,kem_dec,no,{PASS},,clang:-O0;gcc:-Os,secret-risk,,,,,,,varlat-secret-risk,
ML-DSA,pqclean_mldsa65,sign,no,{FAIL},PQCLEAN_MLDSA65_CLEAN_crypto_sign_signature_ctx;PQCLEAN_MLDSA65_CLEAN_make_hint;PQCLEAN_MLDSA65_CLEAN_pack_sig;PQCLEAN_MLDSA65_CLEAN_poly_challenge;PQCLEAN_MLDSA65_CLEAN_poly_chknorm,clang:-O0;gcc:-Os,public,,,,,,,accepted-variable-time,"manual verdict override: needs-analysis -> accepted-variable-time; reviewed unregistered leak-site function(s): PQCLEAN_MLDSA65_CLEAN_crypto_sign_signature_ctx; debug/no-inline cells localize accepted ML-DSA rejection/public-output timing; optimized crypto_sign_signature_ctx is reviewed as coarse parent-frame attribution, not registered wholesale"
synthetic,toy_lookup,leaky,no,{FAIL},leaky_lookup,none,untriaged,,,,,,,ct-leak,manual verdict override: needs-analysis -> ct-leak; reviewed unregistered leak-site function(s): leaky_lookup
synthetic,toy_lookup,safe,no,{PASS},,none,untriaged,,,,,,,robust,
synthetic,ct_matrix_flip,leaky,yes,"{FAIL,PASS}",leaky_select,none,untriaged,,,,,,,build-sensitive-ct,
synthetic,ct_matrix_flip,safe,no,{PASS},,none,untriaged,,,,,,,robust,
