schema_version,family,target,harness,combo,cc,cc_version,opt,cflags,arch,ctkat_commit,ct_status,ct_findings,ct_finding_funcs,ct_error,asm_status,asm_div_count,asm_div_funcs,asm_error
2.0,ML-KEM,pqclean_mlkem768,kem_dec,clang_size,clang,18.1.3,-Os,-Os -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768,kem_dec_fo,gcc_debug,gcc,13.3.0,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768,kem_dec_fo,gcc_opt1,gcc,13.3.0,-O1,-O1 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768,kem_dec_fo,gcc_release,gcc,13.3.0,-O2,-O2 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768,kem_dec_fo,gcc_opt3,gcc,13.3.0,-O3,-O3 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768,kem_dec_fo,gcc_size,gcc,13.3.0,-Os,-Os -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,4,shake128;shake256,
2.0,ML-KEM,pqclean_mlkem768,kem_dec_fo,clang_debug,clang,18.1.3,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer,x86_64,3d7e65e,PASS,0,,,PASS,4,shake128;shake256,
2.0,ML-KEM,pqclean_mlkem768,kem_dec_fo,clang_opt1,clang,18.1.3,-O1,-O1 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768,kem_dec_fo,clang_release,clang,18.1.3,-O2,-O2 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768,kem_dec_fo,clang_opt3,clang,18.1.3,-O3,-O3 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768,kem_dec_fo,clang_size,clang,18.1.3,-Os,-Os -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec,gcc_debug,gcc,13.3.0,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec,gcc_opt1,gcc,13.3.0,-O1,-O1 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec,gcc_release,gcc,13.3.0,-O2,-O2 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec,gcc_opt3,gcc,13.3.0,-O3,-O3 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec,gcc_size,gcc,13.3.0,-Os,-Os -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,4,shake128;shake256,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec,clang_debug,clang,18.1.3,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer,x86_64,3d7e65e,PASS,0,,,PASS,4,shake128;shake256,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec,clang_opt1,clang,18.1.3,-O1,-O1 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec,clang_release,clang,18.1.3,-O2,-O2 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec,clang_opt3,clang,18.1.3,-O3,-O3 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec,clang_size,clang,18.1.3,-Os,-Os -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec_fo,gcc_debug,gcc,13.3.0,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec_fo,gcc_opt1,gcc,13.3.0,-O1,-O1 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec_fo,gcc_release,gcc,13.3.0,-O2,-O2 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec_fo,gcc_opt3,gcc,13.3.0,-O3,-O3 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec_fo,gcc_size,gcc,13.3.0,-Os,-Os -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,4,shake128;shake256,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec_fo,clang_debug,clang,18.1.3,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer,x86_64,3d7e65e,PASS,0,,,PASS,4,shake128;shake256,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec_fo,clang_opt1,clang,18.1.3,-O1,-O1 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec_fo,clang_release,clang,18.1.3,-O2,-O2 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec_fo,clang_opt3,clang,18.1.3,-O3,-O3 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem1024,kem_dec_fo,clang_size,clang,18.1.3,-Os,-Os -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,synthetic,toy_lookup,leaky,gcc_debug,gcc,13.3.0,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer,x86_64,3d7e65e,FAIL,1,leaky_lookup,,PASS,0,,
2.0,synthetic,toy_lookup,leaky,gcc_opt1,gcc,13.3.0,-O1,-O1 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,FAIL,1,leaky_lookup,,PASS,0,,
2.0,synthetic,toy_lookup,leaky,gcc_release,gcc,13.3.0,-O2,-O2 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,FAIL,1,leaky_lookup,,PASS,0,,
2.0,synthetic,toy_lookup,leaky,gcc_opt3,gcc,13.3.0,-O3,-O3 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,FAIL,1,leaky_lookup,,PASS,0,,
2.0,synthetic,toy_lookup,leaky,gcc_size,gcc,13.3.0,-Os,-Os -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,FAIL,1,leaky_lookup,,PASS,0,,
2.0,synthetic,toy_lookup,leaky,clang_debug,clang,18.1.3,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer,x86_64,3d7e65e,FAIL,1,leaky_lookup,,PASS,0,,
2.0,synthetic,toy_lookup,leaky,clang_opt1,clang,18.1.3,-O1,-O1 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,FAIL,1,leaky_lookup,,PASS,0,,
2.0,synthetic,toy_lookup,leaky,clang_release,clang,18.1.3,-O2,-O2 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,FAIL,4,leaky_lookup,,PASS,0,,
2.0,synthetic,toy_lookup,leaky,clang_opt3,clang,18.1.3,-O3,-O3 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,FAIL,4,leaky_lookup,,PASS,0,,
2.0,synthetic,toy_lookup,leaky,clang_size,clang,18.1.3,-Os,-Os -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,FAIL,1,leaky_lookup,,PASS,0,,
2.0,synthetic,toy_lookup,safe,gcc_debug,gcc,13.3.0,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,synthetic,toy_lookup,safe,gcc_opt1,gcc,13.3.0,-O1,-O1 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,synthetic,toy_lookup,safe,gcc_release,gcc,13.3.0,-O2,-O2 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,synthetic,toy_lookup,safe,gcc_opt3,gcc,13.3.0,-O3,-O3 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,synthetic,toy_lookup,safe,gcc_size,gcc,13.3.0,-Os,-Os -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,synthetic,toy_lookup,safe,clang_debug,clang,18.1.3,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,synthetic,toy_lookup,safe,clang_opt1,clang,18.1.3,-O1,-O1 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,synthetic,toy_lookup,safe,clang_release,clang,18.1.3,-O2,-O2 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,synthetic,toy_lookup,safe,clang_opt3,clang,18.1.3,-O3,-O3 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,synthetic,toy_lookup,safe,clang_size,clang,18.1.3,-Os,-Os -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,synthetic,ct_matrix_flip,leaky,gcc_debug,gcc,13.3.0,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer,x86_64,3d7e65e,FAIL,1,leaky_select,,PASS,0,,
2.0,synthetic,ct_matrix_flip,leaky,gcc_opt1,gcc,13.3.0,-O1,-O1 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,synthetic,ct_matrix_flip,leaky,gcc_release,gcc,13.3.0,-O2,-O2 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,synthetic,ct_matrix_flip,leaky,gcc_opt3,gcc,13.3.0,-O3,-O3 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,synthetic,ct_matrix_flip,leaky,gcc_size,gcc,13.3.0,-Os,-Os -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,synthetic,ct_matrix_flip,safe,gcc_debug,gcc,13.3.0,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,synthetic,ct_matrix_flip,safe,gcc_opt1,gcc,13.3.0,-O1,-O1 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,synthetic,ct_matrix_flip,safe,gcc_release,gcc,13.3.0,-O2,-O2 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,synthetic,ct_matrix_flip,safe,gcc_opt3,gcc,13.3.0,-O3,-O3 -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,synthetic,ct_matrix_flip,safe,gcc_size,gcc,13.3.0,-Os,-Os -g -fno-omit-frame-pointer -fno-lto,x86_64,3d7e65e,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash1,kem_dec,gcc_debug,gcc,13.3.0,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash1,kem_dec,gcc_opt1,gcc,13.3.0,-O1,-O1 -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash1,kem_dec,gcc_release,gcc,13.3.0,-O2,-O2 -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash1,kem_dec,gcc_opt3,gcc,13.3.0,-O3,-O3 -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash1,kem_dec,gcc_size,gcc,13.3.0,-Os,-Os -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,3,PQCLEAN_MLKEM768_CLEAN_poly_tomsg;shake128;shake256,
2.0,ML-KEM,pqclean_mlkem768_kyberslash1,kem_dec,clang_debug,clang,18.1.3,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer,x86_64,821c179,PASS,0,,,PASS,3,PQCLEAN_MLKEM768_CLEAN_poly_tomsg;shake128;shake256,
2.0,ML-KEM,pqclean_mlkem768_kyberslash1,kem_dec,clang_opt1,clang,18.1.3,-O1,-O1 -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash1,kem_dec,clang_release,clang,18.1.3,-O2,-O2 -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash1,kem_dec,clang_opt3,clang,18.1.3,-O3,-O3 -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash1,kem_dec,clang_size,clang,18.1.3,-Os,-Os -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash2,kem_dec,gcc_debug,gcc,13.3.0,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash2,kem_dec,gcc_opt1,gcc,13.3.0,-O1,-O1 -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash2,kem_dec,gcc_release,gcc,13.3.0,-O2,-O2 -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash2,kem_dec,gcc_opt3,gcc,13.3.0,-O3,-O3 -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash2,kem_dec,gcc_size,gcc,13.3.0,-Os,-Os -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,4,PQCLEAN_MLKEM768_CLEAN_poly_compress;PQCLEAN_MLKEM768_CLEAN_polyvec_compress;shake128;shake256,
2.0,ML-KEM,pqclean_mlkem768_kyberslash2,kem_dec,clang_debug,clang,18.1.3,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer,x86_64,821c179,PASS,0,,,PASS,4,PQCLEAN_MLKEM768_CLEAN_poly_compress;PQCLEAN_MLKEM768_CLEAN_polyvec_compress;shake128;shake256,
2.0,ML-KEM,pqclean_mlkem768_kyberslash2,kem_dec,clang_opt1,clang,18.1.3,-O1,-O1 -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash2,kem_dec,clang_release,clang,18.1.3,-O2,-O2 -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash2,kem_dec,clang_opt3,clang,18.1.3,-O3,-O3 -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash2,kem_dec,clang_size,clang,18.1.3,-Os,-Os -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash,kem_dec,gcc_debug,gcc,13.3.0,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash,kem_dec,gcc_opt1,gcc,13.3.0,-O1,-O1 -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash,kem_dec,gcc_release,gcc,13.3.0,-O2,-O2 -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash,kem_dec,gcc_opt3,gcc,13.3.0,-O3,-O3 -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash,kem_dec,gcc_size,gcc,13.3.0,-Os,-Os -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,5,PQCLEAN_MLKEM768_CLEAN_poly_compress;PQCLEAN_MLKEM768_CLEAN_poly_tomsg;PQCLEAN_MLKEM768_CLEAN_polyvec_compress;shake128;shake256,
2.0,ML-KEM,pqclean_mlkem768_kyberslash,kem_dec,clang_debug,clang,18.1.3,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer,x86_64,821c179,PASS,0,,,PASS,5,PQCLEAN_MLKEM768_CLEAN_poly_compress;PQCLEAN_MLKEM768_CLEAN_poly_tomsg;PQCLEAN_MLKEM768_CLEAN_polyvec_compress;shake128;shake256,
2.0,ML-KEM,pqclean_mlkem768_kyberslash,kem_dec,clang_opt1,clang,18.1.3,-O1,-O1 -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash,kem_dec,clang_release,clang,18.1.3,-O2,-O2 -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash,kem_dec,clang_opt3,clang,18.1.3,-O3,-O3 -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,ML-KEM,pqclean_mlkem768_kyberslash,kem_dec,clang_size,clang,18.1.3,-Os,-Os -g -fno-omit-frame-pointer -fno-lto,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,Kyber,pqcrystals_kyber768_ref_a621b8d,kem_dec,gcc_debug,gcc,13.3.0,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer -DKYBER_K=3,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,Kyber,pqcrystals_kyber768_ref_a621b8d,kem_dec,gcc_opt1,gcc,13.3.0,-O1,-O1 -g -fno-omit-frame-pointer -fno-lto -DKYBER_K=3,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,Kyber,pqcrystals_kyber768_ref_a621b8d,kem_dec,gcc_release,gcc,13.3.0,-O2,-O2 -g -fno-omit-frame-pointer -fno-lto -DKYBER_K=3,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,Kyber,pqcrystals_kyber768_ref_a621b8d,kem_dec,gcc_opt3,gcc,13.3.0,-O3,-O3 -g -fno-omit-frame-pointer -fno-lto -DKYBER_K=3,x86_64,821c179,PASS,0,,,PASS,0,,
2.0,Kyber,pqcrystals_kyber768_ref_a621b8d,kem_dec,gcc_size,gcc,13.3.0,-Os,-Os -g -fno-omit-frame-pointer -fno-lto -DKYBER_K=3,x86_64,821c179,PASS,0,,,PASS,6,pqcrystals_kyber768_ref_gen_matrix;pqcrystals_kyber768_ref_poly_compress;pqcrystals_kyber768_ref_poly_tomsg;pqcrystals_kyber768_ref_polyvec_compress;pqcrystals_kyber_fips202_ref_shake128;pqcrystals_kyber_fips202_ref_shake256,
2.0,Kyber,pqcrystals_kyber768_ref_a621b8d,kem_dec,clang_debug,clang,18.1.3,-O0,-O0 -g -fno-inline -fno-omit-frame-pointer -DKYBER_K=3,x86_64,821c179,PASS,0,,,PASS,6,pqcrystals_kyber768_ref_gen_matrix;pqcrystals_kyber768_ref_poly_compress;pqcrystals_kyber768_ref_poly_tomsg;pqcrystals_kyber768_ref_polyvec_compress;pqcrystals_kyber_fips202_ref_shake128;pqcrystals_kyber_fips202_ref_shake256,
