stage,status,cells,pairs,ct_finding_pairs,build_sensitive_pairs,asm_candidate_pairs,candidate_pairs,risk_detected_pairs,needs_review_pairs,inconclusive_pairs,no_finding_pairs,note
single-release-build,complete,24,24,11,0,0,11,,,,,candidate generation only; not a final evidence verdict
full-build-matrix,complete,204,24,13,2,0,13,,,,,candidate generation only; not a final evidence verdict
full-matrix-plus-asm,complete,204,24,13,2,16,22,,,,,candidate generation only; not a final evidence verdict
reviewed-evidence-fold,complete,204,25,13,2,16,,6,5,10,4,reviewed=16; pending=6; fold is fail-closed
official-versus-legacy-timing,pending-physical-native-measurement,,,,,,,,,,,official timing-v2 artifacts do not exist on two eligible hosts yet
